,Species_Name,Family_name,Local_name,Common_name,Parts_used,Medicinal_Use
113,Berlinia grandiflora,Caesalpiniaceae,"Apado,abaa,Dokar rafi,Ububa",,Bark,"Ease labour, gastro-intestinal disorders"
114,Afzelia africana  ,Leguminosae,"Apa-Igbo, Apa,kawo,akpalata","Apa,pod mahogany","Root,leaves,stem-bark,seeds.","Gonorrhoea, stomach disorders,hernia,lumbago,febrifuge,antiemetic"
115,Cleistopholis paterns,Annonaceae,Apako,Salt and oil tree,"Leaves,bark","Coughs,anthelmintics,antipyretic,respiratory diseases,tuberculosis,purgative"
116,Calapogonium mucunoides,Leguminosae,"Apalofa,Agbiri",Crab grass,Leaves,"Diarrhoea, skin infection."
117,Phaulopsis falcisepala,Acanthaceae,Apa-Ogbe,Phaulopsis,Whole plant,"Wounds, skin parasite, laxative, aphrodisiac"
118,Pentaclethra macrophylla ,Leguminosae,"Apapa, Pala,pakala,Ugba",Africa Oil bean tree,"Leaves, bark, root","Fever, stomachache, appetizer, general weakness,anthelmintics,sore,jaundice."
119,Spigelia anthelmia  ,Loganiaceae,"Aparan, aran","Worm weed,pink root",Whole plant,"Intestinal worms, convulsions"
120,Burkea africana,Caesalpiniaceae,"Apasa, orusi","Burkea,wild seriga","Bark, twigs","Septic sores, headache,astringent"
121,Datura stramonium ,Solanaceae,"Apikan, ododo-omode,zakami suturamai rawiya,Myaramuo","Stink weed,thorn apple,devil's trumpet,jimson-weed","Leaves, seeds, root","Asthma, cough, astringent,aphrodisiac,mental disorders,gonorrhoea,lumbago,neuralgic,insomnia,anodyne,sedative,antispasmodic"
122,Datura metel  ,Solanaceae,"Apikan,Ajegun-eegun,gegemu,Furenjuuji","Devil's trumpet,hairy thorn apple",Leaves,"Ashma,venereal diseases,convulsion."
123,Eugenia malaccencis,Myrtaceae,Apulu,"Apple,African water apple,rose-water apple",,"Antimicrobial,source for vitamins"
124,Ceiba pentandra,Bombacaceae,"Araba,egungun,Rimii,Akpu","White silk cotton tree,kapok,fuma","Flowers, leaves, bark,exudate.","Diabetes, fever, gonorrhoea,emollient,syphilis,emetic,astringent,demulcent,asthma,diabetes,menorrhagia"
125,Barleria opaca,Acanthaceae,Arenikosun,,Leaves,"Jaundice, hemorrhoids, rheumatism, laxative, snakebite."
126,Haemanthus multiflorus,Amaryllidaceae,"Areyinkosun, toto-odo,Albasar kwadi",Fireball lily,Roots,"Stimulant, cardiac tonic"
127,Tetrapleura tetraptera,Leguminosae,"Aridan, Aidan,Oshosho,Uziza,Kalangon daji",Aridan,"Bark, pod","Fractured bones, anticonvulsant, gonorrhoea,fever,asthma,cough,rheumatism,infertility,insomnia,bilharzia,preservative, Malaria."
128,Hymenostegia afzelii,Leguminosae,"Arigbodigbo,arigbodigba,Ubeze",Hymenostegia,"Stem bark,twigs","Astringent,toothache,piles,cough"
129,Secamone afzelii  ,Asclepiadaceae,"Arilu, alu,ailu.",Secamore,Whole plant,"Gonorrhoea, cough, catarrhal conditions,purgative,galactatogogue,mystic ."
130,Digitaria horizontalis,Poaceae,"Ariran, eeran,Karanin dawaki","Crab grass,sourgrass",Whole plant,"Nervous problem,enhancing memory"
131,Eragrostis tremula,Poaceae,"Ariran,Burburwa","Eragrostis,lovegrass",Whole plant,To improve memory
132,Adenia cissampeloides,Passifloraceae,"Arokeke, Godogbo",Adenia,"Leaves, Stem-bark","Hypertension, nervous disorder, stress, cough, gonorrhoea, antimicrobial."
133,Antidesma venosum,Euphorbiaceae,Aroro,,Stem bark,Anthelmintics
134,Harrisonia abyssinica  ,Simaroubaceae,Arujeran,Harrisonia,"Leaves, stem, root","Stomachache, leprosy, antidote, cancerous tumours,bubonic plague,skin diseases,antipyretic,anthelmintics,insomnia"
135,Phyllanthus muellerianus ,Euphorbiaceae,"Arunjeran, Asasa,egungun-eja,eegun-eja,Kumcii,Egueza",Myrobalan,Whole plant,"Jaundice, skin diseases,antimicrobials, stomach problems, fever, cough,insomnia,dysentery."
136,Blumea perrottetiana,Compositae,"Aruntaba, Eru-taba","Ikulu,isajeje,ngai camphos","Leaves, roots,whole plant"," Pains,jaundice,malaria,anthelmintics,ulcer,dysentery"
137,Macaranga barteri  ,Euphorbiaceae,"Asasa, awasa,agbaasa,Owariwa",Macaranga,"Stem bark, leaves","Dysentery, cough, boils, bruises, black tongue,breast engorgement,irregular menstruation,urinary disorder."
138,Salvadora persica,Salvadoraceae,Asawaki,Tooth brush tree,"Leaves, Bark, fruits","Carminative, diuretic, anthelmintic, amenorrhoea, tumors, rheumatism."
139,Trichilia emotica,Meliaceae,"Ashapa, Isin-Oko,Jan saiwa","Trichilia,roka,poor man's cola","Root, seeds, leaves","Cough, chest congestion, mouth wash, snake-bite antidote,antipyretic,purgative."
140,Microglossa pyrifolia,Compositae,Asibogo,,"Leaves, whole plant","Anthelmintic, Aphrodistac, yellow fever, colds, filariasis, toothache, abortifacient."
141,Rauvolfia vomitoria  ,Apocynaceae,"Asofeyeje,Akanta,Wada","Serpent wood, swizzler stick","Root bark, leaves,stem bark","Hypertension, insomnia, nervous disorder, jaundice, fever, diarrhea, dysentery,scabies,mental disorders,anthelmintics, malaria."
142,Drypetes Florabunda,Euphorbiaceae,Asokara,,Stem,"Toothache, oral hygiene"
143,Ficus elegans  ,Moraceae,Asoro,porcelain vine,Leaves,"Diarrhoea, piles, stomach-ache, constipation, craw-craw."
144,Senna podocarpa,Leguminosae,"Asunwon-ibile,asunrin,aja-rere,Okpo",Senna.,"Leaves, flowers, roots","Malaria, purgative, venereal diseases, anthelmintic."
145,Senna alata  ,Leguminosae(Caesalpiniaceae),"Asunwon-oyinbo,Okpo","Candle bush,candlesticks,crawcraw or ringworm plant,senna","Leaves, seeds, stem, bark","Skin diseases, dysentery, abortifacent,anthelmintic,itch,ringworm,measles,eczema,bronchitis,black menstruation,venereal diseases, stomach-ache."
146,Fagara rubescens,Rutaceae,Ata,,Bark,"Toothache, headache, backache, general debiity."
147,Zanthoxylum leprieuri  ,Rutaceae,Ata,Fagara,"Leaves, stem bark, root bark","Dysentery, colds, cough,malaria,scabies toothache,caries."
148,Capsicum annuum,Solanaceae,"Ata rodo,sombo,tatase,Ose oyinbo",Bell pepper,"Fruits,seeds","Carminative,stimulant,Vitamin C"
149,Capsicum frutescens,Solanaceae,"Ata wewe,ata-eiye,Ose mkpe,Taashi","Chili pepper,bird pepper","Fruits,seeds","Fevers, dysentery,stimulant,carminative, malaria, ingredient of some herbal recipes."
150,Zanthoxylum rubenscens,Rutaceae,"Ata,Fasa kuwari,Akukunkita",Fagara,"Roots,bark.","Cancer,cough,toothache,venereal diseases,gastrointestinal disorders"
151,Zanthoxylum zanthoxyloides  ,Rutaceae,"Ata,orin-ata",Fagara,"Bark, root","Venereal diseases, cough,tuberculosis, urinary disorders,cancers,antimicrobials,sickle-cell anaemia,emmenagogue,contraceptive,gonorrhoea,arthritis"
152,Aframomum melegueta  ,Zingiberaceae,"Ata-ire,atare,itaye,ose oji,citta,gyandamaryaji","Alligator pepper,grains of paradise","Leaves,seeds","Stimulant, smallpox, chicken pox, stimulant,anthelmintics,wounds,coughs,anaemia,rheumatism,measles,malaria,toothache"
153,Rhaphiostylis beninensis,Icacinaceae,Atapara,Rhaphiostylis,Leaves,"Mental disorders,eye diseases,purgatve,rheumatism,toothache"
154,Ipomoea mauritiana  ,Convolvulaceae,"Atewogba, Tanpopo",Bush morning glory,Whole plant,"Rheumatism, asthma, dropsy."
155,Scoparia dulcis,Scrophulariaceae,"Atiotio-usha,naruntantan,mesenmesen,Rumaa faada",Sweet broom weed,Whole plant,"Diabetes,chest diseases,cough,conjunctivitis,gonorrhoea"
156,Chasmanthera dependens,Menispermaceae,Ato-oloriraun,Chasmanthera,Roots,"Diuretics,antigonococcal,for management of fractures."
157,Glyphaea brevis,Tiliaceae,Atori,"Atori, masquerade stick","Stem bark, leaves,stem-twigs","Diarrhoea, fever, respiratory ailment,gonorrhea,wound,toothache,gum infection"
